,hq_city,hq_country,number_branches,branch_names
100,"Phoenix, AZ",USA,1,USA
101,not stated,UK,1,UK
102,"Amsterdam, Netherlands",,1,Netherlands
103,"Montesanto, WA",USA,2,"USA, Philippines"
104,"Chicago, IL",USA,1,USA
105,Wiltshire,UK,1,UK
106,London,UK,1,UK
107,"Houston, TX",USA,1,USA
108,"Poulton-Le-Fylde, Lancashire",UK,1,UK
109,"Indianapolis, Indiana",USA,1,USA
110,Tokyo,Japan,5,"Tokyo, Cambodia (2 offices), Vietnam, Nepal"
111,"San Antonio, TX",USA,1,USA
112,"Chicago, Illinois",USA,1,USA
113,Mbale Town,Uganda,1,Uganda
114,"New York, NY",USA,1,USA
115,"Glen, Iris",Australia,2,"Australia, Sri Lanka"
116,"Fairfield, Connecticutÿ",USA,1,USA
117,"New York, NY",USA,1,USA
118,Auckland,New Zealand,1,New Zealand
119,"Midlothian, VAÿ",USA,1,USA
120,"Westwood, MA",USA,1,USA
121,"New York, NY",USA,2,"USA, Japan"
122,Guatemala City,Guatemala,2,"USA (Friends of the Aldo Casta¤eda Foundation), Guatemala"
123,"New York, NY",USA,1,USA
124,"Fresh Meadows, New York",USA,1,USA
125,"La Conner, WA",USA,1,USA
126,"Singapore, Singapore",Singapore,1,Singapore
127,Washington,USA,4,"Offices in USA, Spain, Peru, Italy"
128,"Eden Prairie, MN",USA,1,USA
129,"Berkeley, CAÿ",USA,1,USA
130,"Minneapolis, MN",USA,1,USA
131,"Bristol, TN",USA,1,USA
132,"Newtown Square, PA",USA,1,USA
133,"Honolulu, HI",USA,1,USA
134,"Portland, Oregon",USA,1,USA
135,"Norwood, MA",USA,1,USA
136,"Wilmore, KY",USA,1,USA
137,"RAGLAN, Monmouthshire",UK,1,UK
138,"Riverside, CA",USA,1,USA
139,"Madison, Wisconsin",USA,1,USA
140,"St Louis, MO",USA,9,"Ethiopia, USA, UK, Australia, Sweden, Netherlands, Germany, Japan, New Zealand "
141,"Durham, NC",USA,1,USA
142,"Worcester, MA",USA,1,USA
143,"Westchester, NY",USA,1,USA
144,Limbe,Haiti,1,Haiti
145,"Colorado Springs, CO",USA,1,USA
146,"Caledonia, MIÿ",USA,2,"USA, Democratic Republic of the Congo (Kinshasa)"
147,"Port-au-Prince, Haiti",Haiti,2,"Haiti, USA"
148,"Spokane, Washington",USA,1,USA
149,Leicester,UK,1,UK
150,"Seattle, WA",USA,14,USA
151,"Lynchburg, VA",USA,1,USA
152,"Searcy, AR",USA,1,USA
153,"Washington, DC",USA,1,USA
154,"Newtown, PA",USA,1,USA
155,"Greenwich, CT",USA,1,USA
156,"Tampa, Florida",USA,1,USA
157,"Boston, MA",USA,1,USA
158,"Franklin, Tennessee",USA,1,USA
159,"Los Angeles, CA",USA,1,USA
160,"Long Beach, CA",USA,1,USA
161,"New York, NY",USA,1,USA
162,"New York, NY",USA,1,USA
163,"Irving, TX",USA,1,USA
164,"Addison, TX",USA,1,USA
165,"Omaha, NE",USA,1,USA
166,"Waterbury, Vermontÿ",USA,1,USA
167,"New York, NY",USA,1,USA
168,"Fullerton, CA",USA,1,USA
169,"Belfast, UK",UK,1,UK
170,"Tucker, GA",USA,1,Honduras
171,"Wayne, PA",USA,1, USA
172,"Pittsburgh, PAÿ",USA,1,USA
173,Gros Morne,Haiti,1,"Haiti, USA"
174,Altamirano Chiapas,Mexico,1,Mexico
175,"Sheffield, UK",UK,1,UK
176,"Berkeley, CAÿ",USA,1,USA
177,"Quito, Ecuador",Ecuador,1,Ecuador
178,"Houston, TX",USA,1,USA
179,Telangana,India,2,"India, USA"
180,Marseilles,France,1,France
181,"Hyderabad, India",India,1,India
182,Istanbul,Turkey,1,Istanbul
183,"Rancho Mirage, CA",USA,1,USA
184,"Minneapolis, MN",USA,1,USA
185,"New Windsor, MD",USA,1,USA
186,"San Diego, CA",USA,1,USA
187,"Thorverton, UK",UK,1,UK
188,"Kew Gardens, NY",USA,1,USA
189,"Worcester, MA",USA,1,USA
190,"New Orleans, LA",USA,1,USA
191,"Memphis, Tennesseeÿ",USA,1,USA
192,"Boise, Idaho",USA,1,USA
193,"Chicago, IL",USA,1,USA
194,Geneva,Switzerland,191,"Angola, Benin, Botswana, Burkina Faso, Burundi, Cameroon, Cape Verde, Central African Republic, Chad, Comoros, Democratic Republic of the Congo (Kinshasa), Congo(Brazzaville), Ivory Coast, Djibouti, Equatorial Guinea, Eritrea, Ethiopia, Gabon, Gambia, Ghana, Guinea (Conakry), Guinea-Bissau, Kenya, Lesotho, Liberia, Madagascar, Malawi, Mali, Mauritania, Mauritius, Mozambique, Namibia, Niger (Niamey), Nigeria, Rwanda, Sao Tome and Principe, Senegal, Seychelles, Sierra Leone, Somalia, South Africa, South Sudan, Sudan (Khartoum), Swaziland, Tanzania, Togo, Uganda, Zambia, Zimbabwe, United States of America, Antigua and Barbuda, Argentina, Barbados, Belize, Bolivia, Brazil, Canada, Chile, Colombia, Costa Rica, Cuba, Dominica (Roseau), Dominican Republic, Ecuador, Grenada, Guatemala, Guyana, Haiti, Honduras, Jamaica, Mexico, Nicaragua, Panama, Paraguay, Peru, Saint Kitts and Nevis, Saint Lucia, Saint Vincent & the Grenadines, El Salvador, Suriname, Bahamas, Trinidad and Tobago, Uruguay, Venezuela, Afghanistan, Australia, Bangladesh, Brunei, Cambodia, China, Cook Islands, Fiji,India, Indonesia, Japan, Kiribati, North Korea, South Korea, Laos, Malaysia, Maldives, Micronesia, Mongolia, Myanmar, Nepal, New Zealand, Pakistan, Palau, Papua New Guinea, Philippines, Samoa (Apia), Singapore, Solomon Islands, Sri Lanka, Thailand, East Timor, Tonga, Tuvalu, Vanuatu, Albania, Andorra, Armenia, Austria, Azerbaijan, Belarus, Belgium, Bosnia, England, Bulgaria, Croatia, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Georgia, Germany, Greece, Hungary, Iceland, Ireland, Italy, Kazakhstan, Kyrgystan, Latvia, Liechtenstein, Lithuania, Luxembourg, Macedonia, Malta, Moldova, Monaco, Montenegro, Netherlands, Norway, Poland, Portugal, San Marino, Romania, Russia, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, Tajikistan, Turkey, Turkmenistan, Ukraine, Uzbekistan, Algeria, Bahrain, Egypt, Iran, Iraq, Israel, Jordan, Kuwait, Lebanon, Libya, Morocco, Palestine, Qatar, Saudi Arabia, Syria, Tunisia, United Arab Emirates, Yemen"
195,"Trenton, NJ",USA,1,USA
196,"Erie, PA",USA,1,USA
197,"Los Angeles, CA",USA,2,"USA, UK"
198,"Rockville Centre, NY",USA,1,USA
199,"San Diego, CAÿ",USA,1,USA
200,"New York, NY",USA,1,USA
201,"Perrysburg, Ohio",USA,1,USA
202,"South Hamoton, New York",USA,2,"NY USA, Michigan USA"
203,"Pueblo, Colarado",USA,1,USA
204,"Salt Lake City, Utah",USA,1,USA
205,"Upper Darby, PA",USA,19,"Australia, Brazil, Canada, Germany, UK, Hong Kong, India, International, Malaysia, Netherlands, New Zealand, Pakistan, Scotland and Ireland, Singapore, South Korea, Switzerland, USA, "
206,"Sosua, Dominican Republic",Dominican Republic,1,Dominican Republic
207,Tokyo,Japan,1,Japan
208,"New York, New York",USA,2,"NY USA, Guaya Ecuador"
209,"Lagos, Nigeria",Nigeria,1,Nigeria
210,"Wantage, England",UK,1,UK
211,"London, England",UK,2,"Kashmir India, London England"
212,"Preston, UK",UK,1,UK
213,"Kijabe, Kenya",Kenya,1,Kenya
214,ÿKwajalein Atoll, Republic of the Marshall Islands,1,Marshall Islands
215,"Salem, North Caroliina",USA,1,USA
216,"Himachal Pradesh, India",India,1,India
